pc_time,device_name,device_address,rssi_dbm,heart_rate_bpm,respiration_rate_bpm,temperature_c,spo2_pct,manufacturer_id,raw_hex
2025-12-18 13:47:19.952,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-59,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:19.952,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-59,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:20.210,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-58,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:20.210,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-58,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:20.716,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-54,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:20.718,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-55,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:20.968,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-53,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:20.969,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-53,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:21.737,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-66,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:21.737,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-66,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:23.535,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-53,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:23.536,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-53,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:23.792,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-45,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:23.793,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-46,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:24.552,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-45,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:24.552,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-45,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:25.830,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-46,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:25.830,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-46,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
2025-12-18 13:47:27.613,HLTO - 01CC,D346751B-7A47-77BE-F059-8A44CE985235,-48,255,0,0.00,,7674,1f0501ff000000000000000097000064e1
