pc_time,type,value
2025-12-18 12:50:32.184,temp_raw,04000000fe03
2025-12-18 12:50:32.984,hr,70
2025-12-18 12:50:33.234,temp_raw,04000000fe03
2025-12-18 12:50:33.983,hr,70
2025-12-18 12:50:34.286,temp_raw,04000000fe03
2025-12-18 12:50:35.085,hr,70
2025-12-18 12:50:35.334,temp_raw,04000000fe03
2025-12-18 12:50:36.083,hr,69
2025-12-18 12:50:36.283,temp_raw,04000000fe03
2025-12-18 12:50:37.183,hr,68
2025-12-18 12:50:37.334,temp_raw,04000000fe03
2025-12-18 12:50:38.034,hr,68
2025-12-18 12:50:38.334,temp_raw,04000000fe03
2025-12-18 12:50:39.134,hr,67
2025-12-18 12:50:39.434,temp_raw,04000000fe03
2025-12-18 12:50:40.134,hr,66
2025-12-18 12:50:40.434,temp_raw,04000000fe03
2025-12-18 12:50:41.183,hr,65
2025-12-18 12:50:41.535,temp_raw,04000000fe03
2025-12-18 12:50:42.283,hr,65
2025-12-18 12:50:42.534,temp_raw,04000000fe03
2025-12-18 12:50:43.334,hr,65
2025-12-18 12:50:43.484,temp_raw,04000000fe03
2025-12-18 12:50:44.484,hr,65
2025-12-18 12:50:44.534,temp_raw,04000000fe03
2025-12-18 12:50:45.584,hr,65
2025-12-18 12:50:45.684,temp_raw,04000000fe03
2025-12-18 12:50:46.285,hr,65
2025-12-18 12:50:46.585,temp_raw,04000000fe03
2025-12-18 12:50:47.484,hr,65
2025-12-18 12:50:47.634,temp_raw,04000000fe03
2025-12-18 12:50:48.385,hr,65
2025-12-18 12:50:48.684,temp_raw,04000000fe03
2025-12-18 12:50:49.435,hr,65
2025-12-18 12:50:49.734,temp_raw,04000000fe03
2025-12-18 12:50:50.485,hr,65
2025-12-18 12:50:50.784,temp_raw,04000000fe03
2025-12-18 12:50:51.534,hr,65
2025-12-18 12:50:51.834,temp_raw,04000000fe03
2025-12-18 12:50:52.584,hr,65
2025-12-18 12:50:52.783,temp_raw,04000000fe03
2025-12-18 12:50:53.634,hr,65
2025-12-18 12:50:53.833,temp_raw,04000000fe03
2025-12-18 12:50:54.684,hr,65
2025-12-18 12:50:54.883,temp_raw,04000000fe03
2025-12-18 12:50:55.585,hr,65
2025-12-18 12:50:55.883,temp_raw,04000000fe03
2025-12-18 12:50:56.635,hr,65
2025-12-18 12:50:56.934,temp_raw,04000000fe03
2025-12-18 12:50:57.683,hr,65
2025-12-18 12:50:57.983,temp_raw,04000000fe03
2025-12-18 12:50:58.784,hr,65
2025-12-18 12:50:59.034,temp_raw,04000000fe03
2025-12-18 12:50:59.784,hr,65
2025-12-18 12:51:00.083,temp_raw,04000000fe03
2025-12-18 12:51:00.735,hr,65
2025-12-18 12:51:01.034,temp_raw,04000000fe03
2025-12-18 12:51:01.785,hr,65
2025-12-18 12:51:02.085,temp_raw,04000000fe03
2025-12-18 12:51:02.785,hr,65
