pc_time,device_ts,values
2025-12-18 12:49:59.984,1704067251,"69,151,0,0,842,849,0,0,0,0,0,0,131,153,96,1,0"
2025-12-18 12:50:01.034,1704067252,"69,151,0,0,969,0,0,0,0,0,0,0,130,159,80,1,0"
2025-12-18 12:50:02.084,1704067253,"69,151,0,0,1153,0,0,0,0,0,0,0,131,159,78,1,0"
2025-12-18 12:50:03.085,1704067254,"70,151,0,0,844,0,0,0,0,0,0,0,127,161,71,1,0"
2025-12-18 12:50:04.135,1704067255,"70,151,0,0,951,0,0,0,0,0,0,0,130,155,71,1,0"
2025-12-18 12:50:05.185,1704067256,"71,151,0,0,857,0,0,0,0,0,0,0,128,157,74,1,0"
2025-12-18 12:50:06.234,1704067257,"72,151,0,0,776,0,0,0,0,0,0,0,128,162,76,1,0"
2025-12-18 12:50:07.285,1704067258,"73,151,0,0,0,0,0,0,0,0,0,0,130,160,73,1,0"
2025-12-18 12:50:08.235,1704067259,"73,151,0,0,881,0,0,0,0,0,0,0,129,156,76,1,0"
2025-12-18 12:50:09.384,1704067260,"73,151,0,0,825,0,0,0,0,0,0,0,133,154,79,1,0"
2025-12-18 12:50:10.284,1704067261,"73,151,0,0,842,0,0,0,0,0,0,0,131,159,72,1,0"
2025-12-18 12:50:11.385,1704067262,"73,151,0,0,864,0,0,0,0,0,0,0,128,156,70,1,0"
2025-12-18 12:50:12.384,1704067263,"73,151,0,0,0,0,0,0,0,0,0,0,144,135,96,1,0"
2025-12-18 12:50:13.434,1704067264,"74,151,0,0,0,0,0,0,0,0,0,0,137,145,93,1,0"
2025-12-18 12:50:14.384,1704067265,"74,151,0,0,924,0,0,0,0,0,0,0,134,151,87,1,0"
2025-12-18 12:50:15.434,1704067266,"74,151,0,0,0,0,0,0,0,0,0,0,133,153,85,1,0"
2025-12-18 12:50:16.486,1704067267,"73,151,0,0,0,0,0,0,0,0,0,0,133,153,83,1,0"
2025-12-18 12:50:17.485,1704067268,"73,151,0,0,822,0,0,0,0,0,0,0,132,154,83,1,0"
2025-12-18 12:50:18.535,1704067269,"72,151,0,0,820,826,0,0,0,0,0,0,135,163,77,1,0"
2025-12-18 12:50:19.584,1704067270,"71,100,0,0,861,0,0,0,0,0,0,0,89,172,83,1,0"
2025-12-18 12:50:20.634,1704067271,"71,100,0,0,745,0,0,0,0,0,0,0,153,129,97,1,0"
2025-12-18 12:50:21.584,1704067272,"71,100,0,0,824,860,0,0,0,0,0,0,78,186,112,1,0"
2025-12-18 12:50:22.734,1704067273,"71,100,0,0,895,0,0,0,0,0,0,0,161,150,85,1,0"
2025-12-18 12:50:23.684,1704067274,"71,100,0,0,888,0,0,0,0,0,0,0,163,124,74,1,0"
2025-12-18 12:50:24.684,1704067275,"71,100,0,0,0,0,0,0,0,0,0,0,153,148,66,1,0"
2025-12-18 12:50:25.734,1704067276,"70,100,0,0,0,0,0,0,0,0,0,0,135,135,122,1,0"
2025-12-18 12:50:26.784,1704067277,"70,100,0,0,1018,0,0,0,0,0,0,0,125,151,82,1,0"
2025-12-18 12:50:27.834,1704067278,"70,100,0,0,807,879,0,0,0,0,0,0,182,123,66,1,0"
2025-12-18 12:50:28.785,1704067279,"70,100,0,0,854,0,0,0,0,0,0,0,186,101,86,1,0"
2025-12-18 12:50:29.834,1704067280,"70,100,0,0,826,0,0,0,0,0,0,0,167,109,94,1,0"
2025-12-18 12:50:30.884,1704067281,"70,100,0,0,855,0,0,0,0,0,0,0,156,120,123,1,0"
2025-12-18 12:50:31.885,1704067282,"70,100,0,0,858,0,0,0,0,0,0,0,146,128,111,1,0"
2025-12-18 12:50:33.084,1704067283,"70,100,0,0,0,0,0,0,0,0,0,0,144,134,101,1,0"
2025-12-18 12:50:33.984,1704067284,"70,151,0,0,0,0,0,0,0,0,0,0,141,137,94,1,0"
2025-12-18 12:50:35.085,1704067285,"70,151,0,0,0,0,0,0,0,0,0,0,141,138,97,1,0"
2025-12-18 12:50:36.084,1704067286,"69,151,0,0,0,0,0,0,0,0,0,0,140,138,102,1,0"
2025-12-18 12:50:37.183,1704067287,"68,151,0,0,0,0,0,0,0,0,0,0,139,140,101,1,0"
2025-12-18 12:50:38.084,1704067288,"68,151,0,0,1082,0,0,0,0,0,0,0,136,140,102,1,0"
2025-12-18 12:50:39.135,1704067289,"67,151,0,0,0,0,0,0,0,0,0,0,139,139,103,1,0"
2025-12-18 12:50:40.135,1704067290,"66,151,0,0,0,0,0,0,0,0,0,0,96,180,70,1,0"
2025-12-18 12:50:41.184,1704067291,"65,151,0,0,0,0,0,0,0,0,0,0,119,193,-3,1,0"
2025-12-18 12:50:42.284,1704067292,"65,151,0,0,0,0,0,0,0,0,0,0,125,187,47,1,0"
2025-12-18 12:50:43.335,1704067293,"65,151,0,0,0,0,0,0,0,0,0,0,106,172,82,1,0"
2025-12-18 12:50:44.234,1704067294,"65,151,0,0,0,0,0,0,0,0,0,0,106,172,82,1,0"
2025-12-18 12:50:45.448,1704067295,"65,151,0,0,0,0,0,0,0,0,0,0,76,186,80,1,0"
2025-12-18 12:50:46.284,1704067296,"65,151,0,0,0,0,0,0,0,0,0,0,80,188,68,1,0"
2025-12-18 12:50:47.384,1704067297,"65,151,0,0,974,0,0,0,0,0,0,0,55,209,16,1,0"
2025-12-18 12:50:48.384,1704067298,"65,151,0,0,0,0,0,0,0,0,0,0,120,169,6,1,0"
2025-12-18 12:50:49.434,1704067299,"65,151,0,0,0,0,0,0,0,0,0,0,116,181,-21,1,0"
